date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:17:33	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-params-Params.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-params-Params.html	(from http://ninja.allexample.com/Params.html)
23:17:34	6772/6772	---M--	200	added ('OK')	text/html	etag:%225cbec642-1a74%22	http://ninja.allexample.com/ParsingArgumentExtractor-1.html	D:/webdownload/ninja/ninja.allexample.com/ParsingArgumentExtractor-1.html	(from http://ninja.allexample.com/ParsingArgumentExtractor.html)
23:17:34	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-params-ParsingArgumentExtractor.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-params-ParsingArgumentExtractor.html	(from http://ninja.allexample.com/ParsingArgumentExtractor.html)
23:17:34	6715/6715	---M--	200	added ('OK')	text/html	etag:%225cbec642-1a3b%22	http://ninja.allexample.com/ParsingArrayExtractor-1.html	D:/webdownload/ninja/ninja.allexample.com/ParsingArrayExtractor-1.html	(from http://ninja.allexample.com/ParsingArrayExtractor.html)
23:17:35	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-params-ParsingArrayExtractor.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-params-ParsingArrayExtractor.html	(from http://ninja.allexample.com/ParsingArrayExtractor.html)
23:17:35	8727/8727	---M--	200	added ('OK')	text/html	etag:%225cbec642-2217%22	http://ninja.allexample.com/PathParam-1.html	D:/webdownload/ninja/ninja.allexample.com/PathParam-1.html	(from http://ninja.allexample.com/PathParam.html)
23:17:35	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-params-PathParam.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-params-PathParam.html	(from http://ninja.allexample.com/PathParam.html)
23:17:35	10308/10308	---M--	200	added ('OK')	text/html	etag:%225cbec641-2844%22	http://ninja.allexample.com/Renderable-1.html	D:/webdownload/ninja/ninja.allexample.com/Renderable-1.html	(from http://ninja.allexample.com/Renderable.html)
23:17:36	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65a-cb3%22	http://ninja.allexample.com/index.html-ninja-Renderable.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-Renderable.html	(from http://ninja.allexample.com/Renderable.html)
23:17:36	10939/10939	---M--	200	added ('OK')	text/html	etag:%225cbec641-2abb%22	http://ninja.allexample.com/RenderingException-1.html	D:/webdownload/ninja/ninja.allexample.com/RenderingException-1.html	(from http://ninja.allexample.com/RenderingException.html)
23:17:36	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65f-cb3%22	http://ninja.allexample.com/index.html-ninja-exceptions-RenderingException.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-exceptions-RenderingException.html	(from http://ninja.allexample.com/RenderingException.html)
23:17:37	10644/10644	---M--	200	added ('OK')	text/html	etag:%225cbec641-2994%22	http://ninja.allexample.com/RequestNotFoundException-1.html	D:/webdownload/ninja/ninja.allexample.com/RequestNotFoundException-1.html	(from http://ninja.allexample.com/RequestNotFoundException.html)
23:17:37	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec65e-cb3%22	http://ninja.allexample.com/index.html-ninja-exceptions-RequestNotFoundException.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-exceptions-RequestNotFoundException.html	(from http://ninja.allexample.com/RequestNotFoundException.html)
23:17:37	8825/8825	---M--	200	added ('OK')	text/html	etag:%225cbec641-2279%22	http://ninja.allexample.com/Required-1.html	D:/webdownload/ninja/ninja.allexample.com/Required-1.html	(from http://ninja.allexample.com/Required.html)
23:17:37	3251/3251	---M--	200	added ('OK')	text/html	etag:%225cbec655-cb3%22	http://ninja.allexample.com/index.html-ninja-validation-Required.html	D:/webdownload/ninja/ninja.allexample.com/index.html-ninja-validation-Required.html	(from http://ninja.allexample.com/Required.html)
